Date,Day,Week,Workstream,Task,Notes,Status
Daily (Jul 6 - Aug 7),Every workday,All,Outreach,"Check the acceptance rate; ping Noel immediately when a reply needs answering","Recurring daily habit, ongoing",
2026-07-06,Monday,Week 1 (Jul 6-10),Content,"Revisit Noel's audit and confirm the takeaways still hold (best topics, formats that landed, posts worth reusing, what his voice already sounds like)",Foundation for pillars and tone decisions,
2026-07-06,Monday,Week 1 (Jul 6-10),Content,"Snapshot the baseline before touching anything: followers, engagement, profile views (spreadsheet for now)",Needed to track impact later,
2026-07-06,Monday,Week 1 (Jul 6-10),Outreach,Start scoping the second sender (Andjela),Part of this week's outreach setup,
2026-07-07,Tuesday,Week 1 (Jul 6-10),Content,"Map who follows Noel now vs the ICP we want, and decide how we close the gap",Feeds into pillar decisions,
2026-07-07,Tuesday,Week 1 (Jul 6-10),Content,"Research what other founders in our space post about (5-10 of them), start noting topics and formats that land",Continue tomorrow if needed,
2026-07-07,Tuesday,Week 1 (Jul 6-10),Outreach,Profile tweaks and optimizations for the senders,,
2026-07-08,Wednesday,Week 1 (Jul 6-10),Content,Finish founder research and summarize patterns worth copying or avoiding,,
2026-07-08,Wednesday,Week 1 (Jul 6-10),Content,"Draft pillar proposal: overlap of what the ICP cares about and what Noel can credibly own, each pillar bending toward authority or booking a call",Draft only; locked with Noel on Friday,
2026-07-08,Wednesday,Week 1 (Jul 6-10),Outreach,Make decisions around messaging and ICP for the second sender,,
2026-07-09,Thursday,Week 1 (Jul 6-10),Content,"Optimize and tweak Noel's profile (headline, banner, featured, about) so visitors convert",,
2026-07-09,Thursday,Week 1 (Jul 6-10),Content,"Draft the tone of voice doc (big don'ts, big dos, topic guardrails)",Finalized with Noel on Friday,
2026-07-09,Thursday,Week 1 (Jul 6-10),Content,"Gather and organize existing material in a structure ready to systemize, tagging one-time vs recurring; hold off building the repo until LinkedIn proves it books calls",,
2026-07-10,Friday,Week 1 (Jul 6-10),Content,"Lock-in session with Noel: cadence of posting, pillars, tone of voice doc, and month-ahead planning rhythm, all in one session","Finalizes pillars, tone doc, cadence",
2026-07-10,Friday,Week 1 (Jul 6-10),Outreach,Initial 200 connection requests finish sending. Hold the winner call; treat the first read as a signal,Key outreach milestone,
2026-07-13,Monday,Week 2 (Jul 13-17),Outreach,"Launch the held-back 100, split 50/50 across both arms (makes it a 150 vs 150 test)",,
2026-07-13,Monday,Week 2 (Jul 13-17),Content,"Start gathering Noel's stories, opinions, and existing material into one pool (dinners, calls, deals, people he knows, upcoming events, past talks, podcasts, takes he repeats)",Continues through the week,
2026-07-14,Tuesday,Week 2 (Jul 13-17),Content,"Build the capture method so feeding material costs Noel minutes, not an afternoon (voice notes, quick question batches, whatever he'll actually do)",,
2026-07-14,Tuesday,Week 2 (Jul 13-17),Outreach,"Start building the bigger list in Sales Nav: define the broader ICP, drop the 'posted in last 30 days' filter",,
2026-07-15,Wednesday,Week 2 (Jul 13-17),Content,Build question sets per pillar that Noel needs to answer,,
