Name,Category,Subcategory,Website,Trust,Notes,Items viewed
Andrea Marron,Bags & Purses,Sculptural handbags,https://andreamarron.com,OK,,Shop All — sculptural handbags
ASKENT,Bags & Purses,Leather goods (Russia),https://askent.ru,Caution,.ru storefront; payment/shipping risk from EU,Сумка КОРСЕТ; КОРСЕТ МИДИ; delivery & payment terms
ASTOUD,Bags & Purses,Independent,https://astoud.com,OK,,SBNE Garnet Noued Medium Bag
AUDETTE,Bags & Purses,Independent leather,https://audette-shop.com,OK,Baguette in 7 finishes,"Baguette — Cognac Napalack, Marron Glacé, Light Taupe Alias, Pistache Grained, Cactus, Citron Napalack, Suede Camel Marron"
Betife,Bags & Purses,"Raffia clutches, Russia",https://betife.ru,Caution,.ru storefront; payment/shipping risk from EU,Клатч из рафии серебряный (silver raffia clutch)
Bonastre,Bags & Purses,Independent leather,https://bonastre.net,OK,Bon-Bon Cords,Bon-Bon Cords M; Bon Bon Crossbody
by m(art)a studios,Bags & Purses,Independent leather,https://bymartastudios.com,OK,Dumpling Bag; you have an account,"Dumpling Bag in Bambi (Medium); Dumpling Bag Summer Edition; Origami A/W26 — signed in, has orders"
Chylak,Bags & Purses,Polish leather goods,https://chylak.com,OK,,Bags; Shoes; Clutch with Feathers; hair accessories — created account
CULBIA,Bags & Purses,Leather bags & boots,https://culbia.com,OK,,Leather bags; Maeve Tall Boots (Black); sandals
DeMellier London,Bags & Purses,Contemporary handbags,https://demellierlondon.com,OK,Your most-researched bag brand after Verafied,"The New York — Black/Light Taupe/Dark Taupe/Burgundy/Tan Small Grain, Mocha Suede, Zebra Hair Calf, Black & Dark Chocolate Croc, Espresso Raffia, Chalk; New York Shoulder (7 finishes); Stockholm Shoulder — Zebra, Black/Chalk/Bordeaux/Dune Fine Grain, Tobacco Suede; Florence Dune; Midi Hudson & Midi Brooklyn Dark Chocolate Croc; Vancouver & Siena collections"
